"user_id","birthdate","gender","married","has_children","home_country","home_city","home_airport","sign_up_date","num_sessions","total_page_clicks","total_flight_discount","total_hotel_discount","total_flights_booked","total_hotels_booked","total_cancellations","total_checked_bags","destination_airport_lat","destination_airport_lon","home_airport_lat","home_airport_lon","seats","rooms","departure_time","return_time","session_start","session_end","trip_id"
"94883","1972-03-16","F","true","false","usa","kansas city","MCI","2022-02-07","8","73","0","1","2","2","0","1","43.862","-79.37","39.297","-94.714","3","3","2023-04-16 10:00:00","2023-04-17 10:00:00","2023-05-28 17:28:00","2023-05-28 17:28:23","94883-bcc118ad37024c4ab14c62d46daf2ac0"
"153982","1978-08-15","F","false","true","canada","toronto","YKZ","2022-04-19","8","150","0","1","3","3","0","1","51.114","-73.779","43.862","-79.37","3","3","2023-07-31 11:00:00","2023-08-03 11:00:00","2023-07-20 20:37:00","2023-07-20 20:45:14","153982-f2187763b9a242f3b923b32ff0e3c7ab"
"167852","2006-02-16","F","false","false","usa","tampa","MCF","2022-05-03","8","63","1","2","0","0","0","","","","27.849","-82.521","","","","","2023-04-25 17:14:00","2023-04-25 17:14:14",""
"181157","1970-08-10","F","true","false","usa","houston","HOU","2022-05-15","8","153","2","1","3","3","0","3","35.393","-97.601","29.645","-95.279","6","6","2023-04-03 11:00:00","2023-04-07 11:00:00","2023-07-07 10:41:00","2023-07-07 10:42:16","181157-9d86219fb6574ef291b265f78e291c04"
"252835","1986-01-20","F","false","true","usa","chicago","ORD","2022-07-18","8","117","1","1","5","4","0","3","53.667","-73.779","41.979","-87.904","5","4","2023-07-19 10:00:00","2023-07-23 10:00:00","2023-07-10 06:24:00","2023-07-10 06:27:15","252835-db62add9d6364162adc85cc234a12552"
"283325","1973-05-15","F","true","false","usa","dallas","DAL","2022-08-12","8","114","2","1","1","2","0","0","46.788","-71.398","32.847","-96.852","1","3","2023-03-05 14:00:00","2023-03-11 14:00:00","2023-06-22 21:04:00","2023-06-22 21:05:53","283325-dd763c2d6d334b3790266b500393438e"
"299476","1985-05-19","F","true","false","usa","atlanta","ATL","2022-08-25","9","187","2","2","1","1","0","0","29.607","-95.159","33.64","-84.427","1","1","2023-01-23 15:00:00","2023-01-26 15:00:00","2023-07-19 14:27:00","2023-07-19 14:31:21","299476-951bbd21c4d44e82b45a63f926e0d08d"
"316527","1982-07-17","F","true","true","canada","winnipeg","YWG","2022-09-08","8","139","1","1","4","4","0","1","45.323","-73.779","49.91","-97.234","5","5","2023-04-27 07:00:00","2023-04-29 07:00:00","2023-07-01 14:37:00","2023-07-01 14:37:53","316527-f0d848bc5f904c8e891e15b1f35431a7"
"340166","1973-05-17","M","true","true","usa","san francisco","SFO","2022-09-27","8","88","1","1","0","1","0","","","","37.619","-122.375","","1","","","2023-06-20 22:07:00","2023-06-20 22:08:22","340166-d22ccea9481042408fc05c8a4adbcb77"
"347778","1974-07-20","F","false","false","usa","las vegas","LSV","2022-10-03","9","162","2","0","5","4","0","5","42.409","-73.779","36.236","-115.034","8","7","2023-06-26 11:00:00","2023-06-29 11:00:00","2023-06-23 11:43:00","2023-06-23 11:46:18","347778-cb5e492a205c41e889ecc74803b98b9c"
